Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10u,C15525
"C10, C11, C2, C3, C4, C5",0402,6,100n,C1525
C12,0805,1,22u,C45783
C13,0603,1,22u,C59461
C14,0402,1,1u,C52923
"C7, C9",0402,2,12p,C1547
D1,0603,1,LEDR,C2286
D2,0603,1,GLED,C72043
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
"J4, J5",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04_MountingPin,C189895
R1,1206,1,120,C17909
"R10, R9",0402,2,5k1,C25905
"R2, R3, R4",0402,3,1k,C11702
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G473CBTx,C730111
U2,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3,C2157795
U3,SOT-23-6,1,SRV05-4,C7420376
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
